trike_id,hub_id,start_tick,end_tick,actual_start_tick,actual_end_tick,actual_duration,daily_trips,daily_income,daily_distance
trike0,hub8,4743.982291109594,53851.699731611814,,,0,0,0.0,0.0
trike1,hub8,3119.0651503305708,35189.6186055124,,,0,0,0.0,0.0
trike2,hub8,0,57643.748485338496,0,1800,1800,1,100.0,1674.81
trike3,hub8,3004.986835415977,38818.67617052434,,,0,0,0.0,0.0
trike4,hub8,32.294889682812936,56914.628755277714,,,0,0,0.0,0.0
trike5,hub8,646.3212564150017,46346.714841815614,,,0,0,0.0,0.0
trike6,hub8,0,53528.33529042325,0,1800,1800,1,50.0,464.25999999999993
trike7,hub8,3935.8265690540247,55016.63445184821,,,0,0,0.0,0.0
trike8,hub8,0,39992.15231246878,0,1800,1800,1,50.0,464.25999999999993
trike9,hub8,16120.078925626258,44492.162635610424,,,0,0,0.0,0.0
trike10,hub7,0,49993.890541567846,0,1800,1800,1,70.0,1375.6000000000001
trike11,hub7,3997.420153585663,56097.79199716352,,,0,0,0.0,0.0
trike12,hub7,2464.975005224642,40124.19456350655,,,0,0,0.0,0.0
trike13,hub7,975.64372328014,50243.03043306776,,,0,0,0.0,0.0
trike14,hub7,4466.289393945659,41908.76991557815,,,0,0,0.0,0.0
trike15,hub6,2359.594642192449,47076.025785305006,,,0,0,0.0,0.0
trike16,hub6,7648.617755240764,50051.09300166499,,,0,0,0.0,0.0
trike17,hub6,4816.506833806598,45250.351362452,,,0,0,0.0,0.0
trike18,hub6,0,49936.87716298959,0,1800,1800,0,0.0,0.0
trike19,hub6,50.10052754395292,48511.80479044623,,,0,0,0.0,0.0
trike20,hub5,0,42158.263083968865,0,1800,1800,1,70.0,1163.06
trike21,hub5,2963.3753030922853,36196.77656619478,,,0,0,0.0,0.0
trike22,hub5,2045.1551860847685,54084.14228344933,,,0,0,0.0,0.0
trike23,hub5,0,35092.98957192639,0,1800,1800,3,220.0,2957.81
trike24,hub5,4290.935729667668,51321.130938493894,,,0,0,0.0,0.0
trike25,hub5,2603.9138262203705,48688.44099188623,,,0,0,0.0,0.0
trike26,hub5,7659.578794837329,46979.20785062807,,,0,0,0.0,0.0
trike27,hub5,925.4993444156753,50094.5744487092,,,0,0,0.0,0.0
trike28,hub5,0,41898.21029346533,0,1800,1800,0,0.0,0.0
trike29,hub5,7360.087570699594,42075.01804329015,,,0,0,0.0,0.0
trike30,hub4,4182.527505250004,37366.48432847856,,,0,0,0.0,0.0
trike31,hub4,1517.717717372936,49036.5744395485,,,0,0,0.0,0.0
trike32,hub4,1756.1423542883167,53294.975533156205,,,0,0,0.0,0.0
trike33,hub4,21356.255880689525,44577.29951286681,,,0,0,0.0,0.0
trike34,hub4,6708.6649266656095,45863.94065528161,,,0,0,0.0,0.0
trike35,hub3,8384.823560687935,31067.72777329391,,,0,0,0.0,0.0
trike36,hub3,1819.884078785628,33227.2984629498,,,0,0,0.0,0.0
trike37,hub3,2144.8563280585695,24628.901477734165,,,0,0,0.0,0.0
trike38,hub3,6776.964738854967,53834.06498891382,,,0,0,0.0,0.0
trike39,hub3,0,37862.26239673242,0,1800,1800,2,190.0,3175.59
trike40,hub2,5071.253531122682,59811.56196521081,,,0,0,0.0,0.0
trike41,hub2,2296.6834421014755,52223.94152044059,,,0,0,0.0,0.0
trike42,hub2,5512.684179918124,48963.76568689578,,,0,0,0.0,0.0
trike43,hub2,0,25339.505392916326,0,1800,1800,2,100.0,1801.88
trike44,hub2,15880.067598016627,56122.85857359032,,,0,0,0.0,0.0
trike45,hub1,0,49150.29941624193,0,1800,1800,1,50.0,883.1200000000001
trike46,hub1,2197.775252180487,48851.307982710365,,,0,0,0.0,0.0
trike47,hub1,1193.7730611379702,49816.4578716275,,,0,0,0.0,0.0
trike48,hub1,0,56988.46593002501,0,1800,1800,1,70.0,1486.3799999999999
trike49,hub1,3853.972826139823,48501.58566376366,,,0,0,0.0,0.0
trike50,hub1,7074.609761922642,57091.47832069837,,,0,0,0.0,0.0
trike51,hub1,0,58051.66270432269,0,1800,1800,1,100.0,1532.48
trike52,hub1,0,41586.484144285976,0,1800,1800,0,0.0,0.0
trike53,hub1,6287.18264025584,48686.9343581517,,,0,0,0.0,0.0
trike54,hub1,2534.293786665203,53111.12223689768,,,0,0,0.0,0.0
trike55,hub1,6003.1989745355095,46265.22804842711,,,0,0,0.0,0.0
trike56,hub1,0,55455.47089198254,0,1800,1800,1,50.0,924.1600000000002
trike57,hub1,0,33831.70452740051,0,1800,1800,2,140.0,2972.7599999999998
trike58,hub1,228.00964925508015,52730.101925519,,,0,0,0.0,0.0
trike59,hub1,3315.2331101231975,55852.95723669497,,,0,0,0.0,0.0
trike60,hub0,0,50059.54618347369,0,1800,1800,0,0.0,0.0
trike61,hub0,0,42543.70037979275,0,1800,1800,1,70.0,1127.39
trike62,hub0,1355.842154982467,51028.366679652674,,,0,0,0.0,0.0
trike63,hub0,2413.1962284404835,57723.619314477124,,,0,0,0.0,0.0
trike64,hub0,3932.3491899159053,38773.87775659902,,,0,0,0.0,0.0
